step,losses/eval.bodypart_heatmap,losses/eval.bodypart_locref,losses/eval.bodypart_total_loss,losses/eval.total_loss,losses/train.bodypart_heatmap,losses/train.bodypart_locref,losses/train.bodypart_total_loss,losses/train.total_loss,metrics/test.mAP,metrics/test.mAR,metrics/test.rmse,metrics/test.rmse_pcutoff
101,,,,,4.482244185055606e-05,7.213741628220305e-05,2.4214654331444763e-05,2.4214654331444763e-05,,,,
102,,,,,5.3212239436106756e-05,8.137637632898986e-05,2.8640530217671767e-05,2.8640530217671767e-05,,,,
103,,,,,4.7854544391157106e-05,7.511214062105864e-05,2.580507680249866e-05,2.580507680249866e-05,,,,
104,,,,,4.8576854169368744e-05,7.08032603142783e-05,2.605850932013709e-05,2.605850932013709e-05,,,,
105,,,,,5.881810648133978e-05,8.976714161690325e-05,3.16532350552734e-05,3.16532350552734e-05,,,,
106,,,,,4.3532356357900426e-05,7.050756539683789e-05,2.352886804146692e-05,2.352886804146692e-05,,,,
107,,,,,4.371665636426769e-05,6.760149699402973e-05,2.3548369426862337e-05,2.3548369426862337e-05,,,,
108,,,,,4.81000570289325e-05,7.354691479122266e-05,2.588869938335847e-05,2.588869938335847e-05,,,,
109,,,,,4.573986734612845e-05,7.178277883213013e-05,2.4664503143867478e-05,2.4664503143867478e-05,,,,
110,5.411477468442172e-05,7.681512943236157e-05,2.897776721511036e-05,2.897776721511036e-05,5.444334237836301e-05,8.52518278406933e-05,2.9352966521400958e-05,2.9352966521400958e-05,98.79000758053597,98.9830508474576,3.0413272255345394,2.20351814191366
111,,,,,4.5792985474690795e-05,7.088817801559344e-05,2.466869591444265e-05,2.466869591444265e-05,,,,
112,,,,,4.801755858352408e-05,7.43834170862101e-05,2.5868366719805636e-05,2.5868366719805636e-05,,,,
113,,,,,5.245614374871366e-05,8.102000720100477e-05,2.825357296387665e-05,2.825357296387665e-05,,,,
114,,,,,4.606751463143155e-05,7.138952059904113e-05,2.481849878677167e-05,2.481849878677167e-05,,,,
115,,,,,4.33225286542438e-05,7.034411828499287e-05,2.341986692044884e-05,2.341986692044884e-05,,,,
116,,,,,4.2564122850308195e-05,6.886103801662102e-05,2.3003587557468563e-05,2.3003587557468563e-05,,,,
117,,,,,4.631837146007456e-05,7.369160448433831e-05,2.500147638784256e-05,2.500147638784256e-05,,,,
118,,,,,4.490416540647857e-05,7.164351700339466e-05,2.424317062832415e-05,2.424317062832415e-05,,,,
119,,,,,4.7710604121675715e-05,7.32648913981393e-05,2.5686926164780743e-05,2.5686926164780743e-05,,,,
120,5.842157770530321e-05,7.734585960861295e-05,3.1144434615271166e-05,3.1144434615271166e-05,4.700402860180475e-05,7.441046909661964e-05,2.5362274755025283e-05,2.5362274755025283e-05,98.55602776608961,98.8135593220339,2.6064764478428644,2.0224253020671585
121,,,,,4.40136318502482e-05,7.229574111988768e-05,2.3814209271222353e-05,2.3814209271222353e-05,,,,
122,,,,,4.018890831503086e-05,6.492289685411379e-05,2.1717527488362975e-05,2.1717527488362975e-05,,,,
123,,,,,4.235385495121591e-05,6.927036884007975e-05,2.2908689061296172e-05,2.2908689061296172e-05,,,,
124,,,,,4.4942349632037804e-05,7.506470865337178e-05,2.4347793441847898e-05,2.4347793441847898e-05,,,,
125,,,,,4.664105654228479e-05,7.40551549824886e-05,2.517190841899719e-05,2.517190841899719e-05,,,,
126,,,,,4.372067633084953e-05,7.044204539852217e-05,2.362139093747828e-05,2.362139093747828e-05,,,,
127,,,,,4.513416570262052e-05,7.126250420697033e-05,2.4348642909899354e-05,2.4348642909899354e-05,,,,
128,,,,,4.828664896194823e-05,7.511121657444164e-05,2.602110726002138e-05,2.602110726002138e-05,,,,
129,,,,,4.2278556065866724e-05,7.065579120535403e-05,2.2905673176865093e-05,2.2905673176865093e-05,,,,
130,5.5855471146060154e-05,7.775051199132577e-05,2.9871496735722758e-05,2.9871496735722758e-05,4.017229366581887e-05,6.568412209162489e-05,2.1728250430896878e-05,2.1728250430896878e-05,98.80004320036717,98.98305084745763,2.5535510599854505,2.0773003303733177
131,,,,,4.3484349589562044e-05,6.935448618605733e-05,2.347603913221974e-05,2.347603913221974e-05,,,,
132,,,,,3.922180621884763e-05,6.632498116232455e-05,2.1269026547088288e-05,2.1269026547088288e-05,,,,
133,,,,,4.395609357743524e-05,7.218621612992138e-05,2.378270437475294e-05,2.378270437475294e-05,,,,
134,,,,,4.349915616330691e-05,6.684027903247625e-05,2.3420587240252644e-05,2.3420587240252644e-05,,,,
135,,,,,4.3835389078594744e-05,6.89253065502271e-05,2.364082683925517e-05,2.364082683925517e-05,,,,
136,,,,,4.432611240190454e-05,7.25597856217064e-05,2.3977052478585392e-05,2.3977052478585392e-05,,,,
137,,,,,4.4057953346055e-05,7.174385245889425e-05,2.382257480348926e-05,2.382257480348926e-05,,,,
138,,,,,4.659283149521798e-05,7.408008968923241e-05,2.5148421627818607e-05,2.5148421627818607e-05,,,,
139,,,,,4.212847488815896e-05,6.68508218950592e-05,2.2735508537152782e-05,2.2735508537152782e-05,,,,
140,5.609458457911387e-05,7.708595512667671e-05,2.997444426000584e-05,2.997444426000584e-05,3.879314681398682e-05,6.192934233695269e-05,2.094480805681087e-05,2.094480805681087e-05,99.00475518328368,99.15254237288134,2.4236904870160676,2.094738895376933
141,,,,,4.191196785541251e-05,6.541253242176026e-05,2.2591299057239667e-05,2.2591299057239667e-05,,,,
142,,,,,4.246968819643371e-05,6.754924834240228e-05,2.2923577489564195e-05,2.2923577489564195e-05,,,,
143,,,,,3.953923805966042e-05,6.85698032611981e-05,2.1483861928572878e-05,2.1483861928572878e-05,,,,
144,,,,,4.550902303890325e-05,7.248633482959121e-05,2.4566668798797764e-05,2.4566668798797764e-05,,,,
145,,,,,4.340946543379687e-05,6.989618123043329e-05,2.345213943044655e-05,2.345213943044655e-05,,,,
146,,,,,4.2090781789738685e-05,6.884571484988555e-05,2.2766535039409064e-05,2.2766535039409064e-05,,,,
147,,,,,4.459041156223975e-05,6.92103203618899e-05,2.402546306257136e-05,2.402546306257136e-05,,,,
148,,,,,4.496530527831055e-05,7.27853475837037e-05,2.4302285964949988e-05,2.4302285964949988e-05,,,,
149,,,,,4.194335269858129e-05,6.702650716761127e-05,2.2647338482784107e-05,2.2647338482784107e-05,,,,
150,5.549837078433484e-05,7.683533476665616e-05,2.96700673061423e-05,2.96700673061423e-05,3.6662833736045286e-05,5.8531422837404534e-05,1.9794702893705107e-05,1.9794702893705107e-05,98.80296397762011,98.98305084745763,2.56920398295167,2.0963552573292525
151,,,,,4.404205537866801e-05,7.384259515674785e-05,2.386709275015164e-05,2.386709275015164e-05,,,,
152,,,,,3.966497752116993e-05,6.334538920782506e-05,2.141612276318483e-05,2.141612276318483e-05,,,,
153,,,,,3.727116563823074e-05,6.107630906626582e-05,2.0162491637165658e-05,2.0162491637165658e-05,,,,
154,,,,,4.709590575657785e-05,7.480110070900992e-05,2.5417983124498278e-05,2.5417983124498278e-05,,,,
155,,,,,4.173953129793517e-05,6.602873327210546e-05,2.252048216178082e-05,2.252048216178082e-05,,,,
156,,,,,4.4888885895488784e-05,7.408016972476617e-05,2.429644882795401e-05,2.429644882795401e-05,,,,
157,,,,,3.685749470605515e-05,6.126021617092192e-05,1.9960254576290026e-05,1.9960254576290026e-05,,,,
158,,,,,4.208288009976968e-05,7.198210369097069e-05,2.2840991732664406e-05,2.2840991732664406e-05,,,,
159,,,,,4.016355887870304e-05,6.535788270412013e-05,2.171572850784287e-05,2.171572850784287e-05,,,,
160,5.5257401982089505e-05,7.608318992424756e-05,2.953078001155518e-05,2.953078001155518e-05,4.124498809687793e-05,6.652899173786864e-05,2.2285716113401577e-05,2.2285716113401577e-05,99.01154314869298,99.15254237288134,2.4308624885342867,2.0818024625483247
161,,,,,4.249615085427649e-05,6.796105299144983e-05,2.2947098841541447e-05,2.2947098841541447e-05,,,,
162,,,,,4.551630263449624e-05,7.381413888651878e-05,2.4603501515230164e-05,2.4603501515230164e-05,,,,
163,,,,,4.010006523458287e-05,6.487258360721171e-05,2.1671845388482325e-05,2.1671845388482325e-05,,,,
164,,,,,4.171430191490799e-05,6.990948168095201e-05,2.2604886908084154e-05,2.2604886908084154e-05,,,,
165,,,,,4.313664976507425e-05,6.907300121383741e-05,2.3295151549973525e-05,2.3295151549973525e-05,,,,
166,,,,,4.0190549043472856e-05,6.666607805527747e-05,2.1761925381724723e-05,2.1761925381724723e-05,,,,
167,,,,,3.3065643947338685e-05,5.822877210448496e-05,1.798854282242246e-05,1.798854282242246e-05,,,,
168,,,,,3.837656186078675e-05,6.257013592403382e-05,2.0752531781909056e-05,2.0752531781909056e-05,,,,
169,,,,,3.9020120311761275e-05,6.639573985012248e-05,2.116995347023476e-05,2.116995347023476e-05,,,,
170,5.4247611842583865e-05,7.58019377826713e-05,2.9018854547757655e-05,2.9018854547757655e-05,3.3493000955786556e-05,6.013247184455395e-05,1.8249811546411365e-05,1.8249811546411365e-05,99.00849140596254,99.15254237288134,2.432462499209261,2.084483730670103
171,,,,,4.390847607282922e-05,7.204686698969454e-05,2.3755410438752733e-05,2.3755410438752733e-05,,,,
172,,,,,4.9560247134650126e-05,7.78637986513786e-05,2.672671871550847e-05,2.672671871550847e-05,,,,
173,,,,,4.0882987377699465e-05,6.712161848554388e-05,2.2119533241493627e-05,2.2119533241493627e-05,,,,
174,,,,,4.528357385424897e-05,7.23828561604023e-05,2.4451355784549378e-05,2.4451355784549378e-05,,,,
175,,,,,4.317256389185786e-05,6.914442928973585e-05,2.3314894860959612e-05,2.3314894860959612e-05,,,,
176,,,,,4.0348764741793275e-05,6.507167563540861e-05,2.1801175535074435e-05,2.1801175535074435e-05,,,,
177,,,,,4.080770304426551e-05,6.764514546375722e-05,2.2094978703535162e-05,2.2094978703535162e-05,,,,
178,,,,,4.1684175812406465e-05,6.712723552482203e-05,2.2520269340020604e-05,2.2520269340020604e-05,,,,
179,,,,,4.625821020454168e-05,7.258270488819107e-05,2.4943672542576678e-05,2.4943672542576678e-05,,,,
180,5.592422894551419e-05,7.600957178510725e-05,2.9862354494980536e-05,2.9862354494980536e-05,4.104232357349247e-05,6.741296238033101e-05,2.2206482753972523e-05,2.2206482753972523e-05,99.00475518328368,99.15254237288134,2.436323281724443,2.0871939432989692
181,,,,,3.986581941717304e-05,6.367162131937221e-05,2.1524700059671886e-05,2.1524700059671886e-05,,,,
182,,,,,4.344658009358682e-05,6.862687587272376e-05,2.3438962671207264e-05,2.3438962671207264e-05,,,,
183,,,,,4.129747685510665e-05,6.660674989689142e-05,2.231390681117773e-05,2.231390681117773e-05,,,,
184,,,,,4.485406680032611e-05,7.266784086823463e-05,2.4243727239081636e-05,2.4243727239081636e-05,,,,
185,,,,,4.906667163595557e-05,7.684506272198632e-05,2.645446511451155e-05,2.645446511451155e-05,,,,
186,,,,,4.62528332718648e-05,7.367257785517722e-05,2.496823071851395e-05,2.496823071851395e-05,,,,
187,,,,,4.412332782521844e-05,6.999893230386078e-05,2.381163722020574e-05,2.381163722020574e-05,,,,
188,,,,,4.3360982090234756e-05,6.861874862806872e-05,2.3395959942718036e-05,2.3395959942718036e-05,,,,
189,,,,,4.929083661409095e-05,7.765669579384848e-05,2.6586834792396985e-05,2.6586834792396985e-05,,,,
190,5.5381638958351687e-05,7.561798702226952e-05,2.958126788144e-05,2.958126788144e-05,4.161729521001689e-05,6.827102333772928e-05,2.2515423552249558e-05,2.2515423552249558e-05,99.016348391122,99.15254237288134,2.441414157388664,2.093128322326031
191,,,,,4.365533095551655e-05,6.830070196883753e-05,2.353518175368663e-05,2.353518175368663e-05,,,,
192,,,,,4.9762995331548154e-05,8.020162931643426e-05,2.6886540581472218e-05,2.6886540581472218e-05,,,,
193,,,,,4.778943184646778e-05,7.483316585421562e-05,2.5765548343770206e-05,2.5765548343770206e-05,,,,
194,,,,,4.110485679120757e-05,6.607636896660551e-05,2.2204338165465742e-05,2.2204338165465742e-05,,,,
195,,,,,3.600974741857499e-05,5.8082823670702055e-05,1.9456943846307695e-05,1.9456943846307695e-05,,,,
196,,,,,4.6075314457993954e-05,7.591621397295967e-05,2.4935561668826267e-05,2.4935561668826267e-05,,,,
197,,,,,4.8795609473017976e-05,7.440865010721609e-05,2.6258019715896808e-05,2.6258019715896808e-05,,,,
198,,,,,4.229035403113812e-05,6.821713031968102e-05,2.2850605091662146e-05,2.2850605091662146e-05,,,,
199,,,,,3.9930615457706153e-05,6.528662197524682e-05,2.1597470549750142e-05,2.1597470549750142e-05,,,,
200,5.4877902584848925e-05,7.578324584756047e-05,2.9333534257602878e-05,2.9333534257602878e-05,4.7596658987458795e-05,7.633356290170923e-05,2.5706667656777427e-05,2.5706667656777427e-05,99.00787611532297,99.15254237288134,2.413625616776316,2.0843716021665593
