step,losses/eval.bodypart_heatmap,losses/eval.bodypart_locref,losses/eval.bodypart_total_loss,losses/eval.total_loss,losses/train.bodypart_heatmap,losses/train.bodypart_locref,losses/train.bodypart_total_loss,losses/train.total_loss,metrics/test.mAP,metrics/test.mAR,metrics/test.rmse,metrics/test.rmse_pcutoff
21,,,,,0.0001320272422162816,0.00019827205687761307,7.097043271642178e-05,7.097043271642178e-05,,,,
22,,,,,0.00013362981553655118,0.00019105842511635274,7.159137749113142e-05,7.159137749113142e-05,,,,
23,,,,,0.00014020755770616233,0.00020508367742877454,7.523086969740689e-05,7.523086969740689e-05,,,,
24,,,,,0.00011432469182182103,0.00017008994473144412,6.141459016362205e-05,6.141459016362205e-05,,,,
25,,,,,0.00011856434139190242,0.00017216736159753054,6.358635437209159e-05,6.358635437209159e-05,,,,
26,,,,,9.769500320544466e-05,0.00014952878700569272,5.258572127786465e-05,5.258572127786465e-05,,,,
27,,,,,0.00010098695202032104,0.00015430277562700212,5.4351046856027097e-05,5.4351046856027097e-05,,,,
28,,,,,0.0001124228147091344,0.00016368036449421197,6.030341319274157e-05,6.030341319274157e-05,,,,
29,,,,,0.00010377758007962257,0.00015537287981715053,5.5773110943846405e-05,5.5773110943846405e-05,,,,
30,6.746940925950184e-05,0.00010721000580815598,3.641496005002409e-05,3.641496005002409e-05,0.0001115552950068377,0.00016491342103108764,5.99004742980469e-05,5.99004742980469e-05,99.0406282007511,99.32203389830508,3.004453589559084,2.8252598316926534
31,,,,,9.448557102587074e-05,0.00014257399016059935,5.080713890492916e-05,5.080713890492916e-05,,,,
32,,,,,0.00010348248179070652,0.00014906655997037888,5.546790634980425e-05,5.546790634980425e-05,,,,
33,,,,,0.00010189910244662315,0.0001492135488661006,5.4679887398378924e-05,5.4679887398378924e-05,,,,
34,,,,,8.472691843053326e-05,0.00012950939708389342,4.5601198507938534e-05,4.5601198507938534e-05,,,,
35,,,,,8.449757297057658e-05,0.0001244120649062097,4.5359087380347773e-05,4.5359087380347773e-05,,,,
36,,,,,8.307644020533189e-05,0.0001237069518538192,4.463089135242626e-05,4.463089135242626e-05,,,,
37,,,,,8.372444426640868e-05,0.0001258171396329999,4.500765498960391e-05,4.500765498960391e-05,,,,
38,,,,,8.39399071992375e-05,0.00012310402235016227,4.504755270318128e-05,4.504755270318128e-05,,,,
39,,,,,8.886145951692015e-05,0.00012799994146917015,4.7630721383029595e-05,4.7630721383029595e-05,,,,
40,5.6366938224527985e-05,0.00010356341226724908,3.077255314565264e-05,3.077255314565264e-05,0.0001019398114294745,0.00014723019558005035,5.465065987664275e-05,5.465065987664275e-05,100.0,100.0,2.8014454706477734,2.7502514698984215
