step,losses/eval.bodypart_heatmap,losses/eval.bodypart_locref,losses/eval.bodypart_total_loss,losses/eval.total_loss,losses/train.bodypart_heatmap,losses/train.bodypart_locref,losses/train.bodypart_total_loss,losses/train.total_loss,metrics/test.mAP,metrics/test.mAR,metrics/test.rmse,metrics/test.rmse_pcutoff
121,,,,,3.777615711442195e-05,7.374685810646042e-05,2.0731746189994738e-05,2.0731746189994738e-05,,,,
122,,,,,3.699010267155245e-05,7.422835915349424e-05,2.035076067841146e-05,2.035076067841146e-05,,,,
123,,,,,4.053986049257219e-05,7.640256808372214e-05,2.2179992811288685e-05,2.2179992811288685e-05,,,,
124,,,,,4.258045373717323e-05,8.050448377616704e-05,2.3302836780203506e-05,2.3302836780203506e-05,,,,
125,,,,,4.508553320192732e-05,8.808901475276798e-05,2.4744989786995575e-05,2.4744989786995575e-05,,,,
126,,,,,4.356691351858899e-05,8.271518163383007e-05,2.3851336663938127e-05,2.3851336663938127e-05,,,,
127,,,,,3.229261710657738e-05,6.564715295098722e-05,1.778748628566973e-05,1.778748628566973e-05,,,,
128,,,,,2.564533133408986e-05,5.743272413383238e-05,1.4258482224249747e-05,1.4258482224249747e-05,,,,
129,,,,,5.317539398674853e-05,9.330904140369967e-05,2.8920421755174175e-05,2.8920421755174175e-05,,,,
130,2.278813553857617e-05,3.364216900081374e-05,1.2235123904247303e-05,1.2235123904247303e-05,4.4363630877342075e-05,8.388720743823797e-05,2.4278993805637583e-05,2.4278993805637583e-05,100.0,100.0,1.3347086092320883,1.334708795314882
131,,,,,3.5871966247214004e-05,7.264383020810783e-05,1.9752082152990624e-05,1.9752082152990624e-05,,,,
132,,,,,3.6748686397913843e-05,7.207787712104619e-05,2.0176290490780957e-05,2.0176290490780957e-05,,,,
133,,,,,4.137523865210824e-05,8.232333493651822e-05,2.2745702153770253e-05,2.2745702153770253e-05,,,,
134,,,,,4.300812724977732e-05,8.281810733024031e-05,2.357451739953831e-05,2.357451739953831e-05,,,,
