scorer,,,lake_lab,lake_lab,lake_lab,lake_lab,lake_lab,lake_lab,lake_lab,lake_lab,lake_lab,lake_lab,lake_lab,lake_lab
bodyparts,,,Nose,Nose,Tail,Tail,FL_gen,FL_gen,FR_gen,FR_gen,BL_gen,BL_gen,BR_gen,BR_gen
coords,,,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,20240610_4132_01,img016.png,896.858542421466,232.68033403127046,1153.2508911745101,201.60364100892937,1017.9639326150715,240.8150686869387,983.3446921169985,201.60311372880713,1106.862373025078,239.63103305157347,1171.8875203293926,159.8931370505065
labeled-data,20240610_4132_01,img031.png,877.9109123060763,231.56360208809522,1135.767493258783,194.96931590697932,961.8407743449377,242.67430492029615,982.9841597298868,202.14391230947493,1106.506522769768,239.74964980334352,1098.4979588501228,156.01257956621652
labeled-data,20240610_4132_01,img087.png,800.644830172014,218.98814178634854,1062.7831186519747,192.2707869190594,912.0105495411149,238.59305231493977,886.0142983338552,197.688718420608,1067.9560784445036,243.90123611529503,1001.4001822301532,178.90796964664543
labeled-data,20240610_4132_01,img131.png,732.488969724932,223.26322455245239,991.9226941597354,215.2585817320029,860.7244452895342,242.31994723627398,812.2401389225583,203.7673479273211,933.7272792924136,251.51441224858752,995.6316640363634,178.72770345308948
labeled-data,20240610_4132_01,img146.png,705.5475828606911,223.07078607485067,967.7831651273235,215.65449597819588,787.6105103791601,238.22556688129302,811.528438411938,204.00458143086118,933.1499638596084,250.74465833818064,947.8611227440423,171.51705571085233
labeled-data,20240610_4132_01,img159.png,682.0719805005252,220.02599492558454,942.8110745766987,213.46036292481799,740.1150842185684,237.58401709256893,810.9353546530879,203.88596467909116,931.7066752775955,250.74465833818064,895.4036604192669,179.26850203375727
labeled-data,20240610_4132_01,img170.png,659.8906479195269,222.99141371983563,920.8787762984873,211.97739613732327,718.4733594850977,238.02270070203116,806.4279180858261,203.17426416847087,929.7822905015784,251.3219737709858,845.384016696408,182.8964361970974
labeled-data,20240610_4132_01,img206.png,593.8211171836123,226.0754492658568,855.4331001640502,220.55674238129677,717.0110807868903,238.31515644167268,658.2897010482594,205.336953153482,805.1406966502074,259.3274567230626,832.7653831474929,187.22282484243968
labeled-data,20240610_4132_01,img209.png,589.2285985810234,225.062052143923,850.149628205539,222.09553152124863,717.0110807868903,238.31515644167268,650.1072563869388,204.70691365066176,790.8040300688791,256.82575651424025,831.5035197926014,187.22282484243968
labeled-data,20240610_4132_01,img267.png,494.1181538481693,210.1995852772686,753.4224950865699,218.80223044062367,547.202764514567,233.58829723825693,623.9923421100351,208.09464399058237,735.3564756100665,256.1914114075399,683.9943794051982,188.0409929399376
labeled-data,20240610_4132_01,img284.png,462.4981326460689,206.6258609352416,720.9928863797605,214.63855836490706,525.1400486853387,230.0297946851556,592.9147531462835,199.07977085605899,729.6587611107446,256.1914114075399,646.5650955116635,193.04439335758232
labeled-data,20240610_4132_01,img338.png,371.67249459326575,205.93686309701866,626.1915114042899,222.40974872824427,490.473408293915,233.6006106959224,438.7059387674231,201.28285403459466,542.8054479750027,250.0093828248826,637.1438007075313,187.21657532273917
labeled-data,20240610_4132_01,img347.png,358.15253007657105,204.49473354857125,614.1620193518196,220.25710278201274,453.33152935944497,238.13367466036556,438.11285500857286,201.52008753813476,542.4255692786089,249.69281724455445,604.672704777735,179.43466829342015
labeled-data,20240610_4132_01,img413.png,282.44072878308083,195.30115767721884,536.7075636059292,195.93350918879264,383.8375535475942,229.02245002931548,355.3831149725346,184.90353418363935,500.8910002671186,250.65600320946132,457.4393686760769,174.43266799245362
labeled-data,20240610_4132_01,img431.png,266.3700407016728,193.4031547648806,519.224165690202,200.6946130854862,384.3120205546744,229.14106678108553,330.3549803490552,186.32693520487987,438.4000813376744,244.0295373947297,457.00068506661466,174.87135160191588
labeled-data,20240610_4132_01,img481.png,202.02977798054354,192.67201541577685,461.0246873669751,202.54658789077237,278.7821484376812,226.03503674703478,284.7767396343431,186.7486530876073,410.3040636078232,243.35600272312368,425.21064796930057,167.9594236808844
labeled-data,20240610_4132_01,img520.png,161.50291927643258,181.69138327877283,413.8470413942699,195.72476317438884,219.61771409676865,215.58174726270823,284.42088937903293,186.2741860805271,407.41748644379743,243.2597834843228,328.13311715012827,168.53504506148337
labeled-data,20240610_4132_01,img559.png,128.29022878082017,161.2893019743252,374.95042802195087,201.86633370686027,219.7363308485387,215.8189807662483,194.2556223489211,167.34757438122685,315.20071862645165,244.46331338422414,314.96665770365337,173.39833188405518
labeled-data,20240610_4132_01,img596.png,99.69236750724514,152.39170833022177,342.926524531207,217.3664879078596,215.228894281277,214.87004675208794,178.83544461881533,169.83852616839778,251.62993179211938,245.2809421223746,314.017723689493,174.2286491464455
labeled-data,20240610_4132_01,img609.png,89.60264448961351,152.830391939684,333.7141687324999,219.55990595517082,182.2534372892047,214.5141964967778,178.36097761173517,170.07575967193787,251.47383002501468,245.35899300592695,313.0687896753326,173.39833188405518
labeled-data,20240610_4135_02,img030.png,693.7227559519945,222.2924878632232,931.6792343095864,194.6574443103597,757.7090243274653,239.80532517561034,780.6447658714246,199.72889351596476,908.7154452297115,232.7884711187481,895.4832670873512,171.73571365627254
